beneficiary_sk,beneficiary_id,household_id,first_name,last_name,gender,date_of_birth,age,nationality,vulnerability_status,household_size,program_enrolled,registration_date,scd_start_date,scd_end_date,is_current,record_status,biometric_verified,protection_flag,notes
349,BEN-00349,HH-0608,Ali,Ndlovu,Male,1993-09-03,31,Somali,IDP,9,Food Security,2022-03-31,2022-03-31,9999-12-31,1,Active,1,0,
350,BEN-00350,HH-1712,Fatima,Ahmed,Female,2011-06-29,13,Somali,IDP,1,Livelihoods,2024-05-18,2024-05-18,9999-12-31,1,Inactive,1,0,
351,BEN-00351,HH-0365,Yusuf,Jama,Male,1956-07-28,68,Nigerian,IDP,5,Protection,2022-04-22,2022-04-22,9999-12-31,1,Active,0,1,
352,BEN-00352,HH-0035,Ibrahim,Osman,Male,1988-11-06,36,Nigerian,Refugee,12,Food Security,2023-10-10,2023-10-10,9999-12-31,1,Inactive,1,0,
353,BEN-00353,HH-0594,Yusuf,Musa,Male,1995-02-10,29,Ethiopian,Returnee,7,Protection,2022-08-06,2022-08-06,9999-12-31,1,Inactive,1,1,
354,BEN-00354,HH-0451,Omar,Kofi,Female,1964-01-10,61,Congolese,Host Community,11,Cash Assistance,2024-12-28,2024-12-28,9999-12-31,1,Deceased,1,0,
355,BEN-00355,HH-0011,Zainab,Musa,Female,1961-01-21,63,Rohingya,Stateless,2,Education,2022-03-27,2022-03-27,9999-12-31,1,Active,0,0,
356,BEN-00356,HH-1855,Hassan,Mohamed,Male,1968-12-30,56,Congolese,IDP,10,Education,2024-04-25,2024-04-25,9999-12-31,1,Active,1,0,
357,BEN-00357,HH-1321,Hassan,Osman,Female,2017-05-19,7,Somali,Host Community,2,WASH,2024-08-02,2024-08-02,9999-12-31,1,Inactive,0,0,
358,BEN-00358,HH-1375,Ali,Osman,Female,1982-01-15,42,Nigerian,Refugee,4,Cash Assistance,2022-09-20,2022-09-20,9999-12-31,1,Active,0,0,
359,BEN-00359,HH-1159,Zainab,Ndlovu,Female,2012-03-19,12,Afghan,IDP,1,Cash Assistance,2022-11-09,2022-11-09,9999-12-31,1,Active,1,1,
360,BEN-00360,HH-0276,Halima,Barre,Female,1974-10-28,50,Syrian,Host Community,5,Livelihoods,2024-01-07,2024-01-07,9999-12-31,1,Active,1,0,
361,BEN-00361,HH-1826,Hassan,Ahmed,Female,1975-03-06,49,Somali,Refugee,1,Food Security,2022-10-14,2022-10-14,9999-12-31,1,Inactive,0,1,
362,BEN-00362,HH-1857,Amina,Jama,Female,2019-01-04,5,Rohingya,Stateless,8,Shelter,2023-03-12,2023-03-12,9999-12-31,1,Active,1,0,
363,BEN-00363,HH-1027,Hassan,Osman,Female,1962-01-05,63,Yemeni,Stateless,1,WASH,2024-08-09,2024-08-09,9999-12-31,1,Inactive,0,0,
364,BEN-00364,HH-0288,Mariam,Mohamed,Male,2017-12-07,7,Nigerian,Stateless,11,Shelter,2024-11-18,2024-11-18,9999-12-31,1,Inactive,0,0,
365,BEN-00365,HH-1560,Mariam,Ahmed,Male,1953-08-17,71,Ethiopian,Host Community,4,Food Security,2023-03-25,2023-03-25,9999-12-31,1,Active,0,0,
366,BEN-00366,HH-1880,Mariam,Diallo,Male,1984-10-26,40,Yemeni,Refugee,12,Education,2024-08-19,2024-08-19,9999-12-31,1,Inactive,0,0,
367,BEN-00367,HH-0749,Zainab,Osman,Female,1983-10-17,41,Afghan,IDP,9,Protection,2024-02-15,2024-02-15,9999-12-31,1,Active,0,1,
368,BEN-00368,HH-1028,Omar,Barre,Male,1993-04-02,31,Sudanese,Refugee,9,Education,2022-01-14,2022-01-14,9999-12-31,1,Active,1,0,
369,BEN-00369,HH-1354,Ali,Kofi,Female,1982-07-01,42,Somali,Returnee,11,Livelihoods,2022-08-31,2022-08-31,9999-12-31,1,Active,0,0,
370,BEN-00370,HH-0046,Ali,Diallo,Male,2008-01-26,16,Nigerian,Stateless,3,Shelter,2024-04-21,2024-04-21,9999-12-31,1,Active,1,0,
371,BEN-00371,HH-0529,Omar,Jama,Female,1955-01-07,70,Nigerian,Stateless,11,Food Security,2022-12-07,2022-12-07,9999-12-31,1,Transferred,0,0,
372,BEN-00372,HH-0920,Zainab,Barre,Female,1957-09-10,67,Congolese,IDP,7,Shelter,2023-03-20,2023-03-20,9999-12-31,1,Inactive,1,0,
373,BEN-00373,HH-1889,Mariam,Musa,Male,1965-01-17,59,Sudanese,Returnee,7,Shelter,2023-12-03,2023-12-03,9999-12-31,1,Active,1,1,
374,BEN-00374,HH-0364,Mariam,Musa,Male,1963-06-02,61,Rohingya,Stateless,2,Health,2022-07-17,2022-07-17,9999-12-31,1,Active,1,0,
375,BEN-00375,HH-1070,Ibrahim,Ndlovu,Male,2019-07-08,5,Rohingya,Returnee,4,Livelihoods,2024-06-02,2024-06-02,9999-12-31,1,Inactive,0,0,
376,BEN-00376,HH-0872,Omar,Warsame,Female,2002-11-05,22,Sudanese,Refugee,5,Protection,2022-07-20,2022-07-20,9999-12-31,1,Active,1,0,
377,BEN-00377,HH-0242,Hassan,Diallo,Female,2001-11-08,23,Sudanese,Host Community,7,Cash Assistance,2024-12-06,2024-12-06,9999-12-31,1,Active,0,0,
378,BEN-00378,HH-1157,Halima,Musa,Female,1973-06-11,51,Afghan,IDP,7,Livelihoods,2024-05-17,2024-05-17,9999-12-31,1,Active,0,1,
379,BEN-00379,HH-1184,Halima,Kofi,Male,1972-10-07,52,Somali,IDP,8,Shelter,2023-09-21,2023-09-21,9999-12-31,1,Active,0,1,
380,BEN-00380,HH-0330,Ibrahim,Diallo,Male,1980-05-12,44,Congolese,Returnee,10,Protection,2022-04-17,2022-04-17,9999-12-31,1,Active,0,0,
381,BEN-00381,HH-1248,Amina,Kofi,Female,1983-04-09,41,Nigerian,Stateless,5,Food Security,2022-06-13,2022-06-13,9999-12-31,1,Transferred,1,1,
382,BEN-00382,HH-0414,Hassan,Warsame,Male,1989-05-20,35,South Sudanese,Stateless,9,WASH,2022-01-22,2022-01-22,9999-12-31,1,Active,0,0,
383,BEN-00383,HH-1342,Amina,Mohamed,Male,1982-04-10,42,Ethiopian,Returnee,6,Protection,2023-05-05,2023-05-05,9999-12-31,1,Active,1,0,
384,BEN-00384,HH-1883,Fatima,Jama,Female,2016-02-11,8,Rohingya,Stateless,6,Cash Assistance,2022-05-21,2022-05-21,9999-12-31,1,Deceased,0,0,
385,BEN-00385,HH-0932,Ibrahim,Musa,Male,2004-05-26,20,Ethiopian,IDP,7,Health,2023-02-03,2023-02-03,9999-12-31,1,Active,0,0,
386,BEN-00386,HH-1645,Hassan,Warsame,Female,1980-07-02,44,Syrian,Returnee,10,Livelihoods,2022-08-28,2022-08-28,9999-12-31,1,Inactive,0,1,
387,BEN-00387,HH-1837,Zainab,Diallo,Female,2011-02-24,13,Somali,Host Community,2,Protection,2024-08-01,2024-08-01,9999-12-31,1,Active,1,0,
388,BEN-00388,HH-1957,Halima,Jama,Male,1978-04-29,46,Ethiopian,IDP,5,Health,2024-04-24,2024-04-24,9999-12-31,1,Active,0,0,
389,BEN-00389,HH-0976,Halima,Ndlovu,Male,1956-10-27,68,Nigerian,Host Community,3,WASH,2023-01-01,2023-01-01,9999-12-31,1,Active,1,0,
390,BEN-00390,HH-1788,Yusuf,Ahmed,Male,2015-12-24,9,Sudanese,IDP,10,Cash Assistance,2023-05-11,2023-05-11,9999-12-31,1,Active,1,0,
391,BEN-00391,HH-1258,Amina,Jama,Male,1957-01-15,68,Syrian,Host Community,10,Cash Assistance,2024-10-05,2024-10-05,9999-12-31,1,Active,0,0,
392,BEN-00392,HH-1566,Hassan,Warsame,Female,1994-01-12,30,Sudanese,Stateless,3,Food Security,2023-01-10,2023-01-10,9999-12-31,1,Active,0,1,
393,BEN-00393,HH-1030,Halima,Kofi,Male,1998-07-07,26,Syrian,Refugee,12,Livelihoods,2022-03-08,2022-03-08,9999-12-31,1,Active,1,0,
394,BEN-00394,HH-0778,Zainab,Osman,Female,2010-06-24,14,Yemeni,Stateless,5,Shelter,2023-03-08,2023-03-08,9999-12-31,1,Active,1,0,
395,BEN-00395,HH-0750,Omar,Barre,Female,1992-04-15,32,Sudanese,Returnee,12,Cash Assistance,2023-12-04,2023-12-04,9999-12-31,1,Active,0,0,
396,BEN-00396,HH-1171,Omar,Musa,Male,1990-06-09,34,Somali,Host Community,4,Protection,2023-01-04,2023-01-04,9999-12-31,1,Transferred,1,0,
397,BEN-00397,HH-0969,Amina,Mohamed,Female,2016-04-04,8,Syrian,IDP,11,Cash Assistance,2022-11-03,2022-11-03,9999-12-31,1,Inactive,0,0,
398,BEN-00398,HH-0816,Fatima,Mohamed,Male,2000-06-07,24,Sudanese,Host Community,8,Health,2022-04-08,2022-04-08,9999-12-31,1,Active,0,0,
399,BEN-00399,HH-1148,Hassan,Warsame,Female,1982-05-21,42,South Sudanese,Returnee,2,Cash Assistance,2024-01-08,2024-01-08,9999-12-31,1,Transferred,0,0,
400,BEN-00400,HH-1599,Yusuf,Ndlovu,Female,2001-10-02,23,Rohingya,Returnee,12,Livelihoods,2022-12-24,2022-12-24,9999-12-31,1,Transferred,0,0,
401,BEN-00401,HH-1779,Omar,Ndlovu,Female,1991-08-10,33,Nigerian,Stateless,7,Health,2022-10-24,2022-10-24,9999-12-31,1,Active,0,0,
402,BEN-00402,HH-1338,Yusuf,Warsame,Female,1978-02-15,46,Ethiopian,Returnee,6,Livelihoods,2023-10-11,2023-10-11,9999-12-31,1,Active,1,0,
403,BEN-00403,HH-1356,Yusuf,Osman,Male,1961-03-21,63,Congolese,Returnee,2,Health,2023-04-26,2023-04-26,9999-12-31,1,Active,0,0,
404,BEN-00404,HH-1074,Fatima,Osman,Female,1952-05-13,72,Nigerian,IDP,2,Protection,2024-03-24,2024-03-24,9999-12-31,1,Active,1,0,
405,BEN-00405,HH-0269,Hassan,Mohamed,Male,1989-10-04,35,South Sudanese,Host Community,6,Livelihoods,2022-09-16,2022-09-16,9999-12-31,1,Active,0,0,
406,BEN-00406,HH-0277,Hassan,Mohamed,Female,1999-03-19,25,Nigerian,Returnee,9,Education,2024-06-30,2024-06-30,9999-12-31,1,Transferred,0,0,
407,BEN-00407,HH-0631,Halima,Kofi,Female,1958-01-13,67,Congolese,Host Community,1,Food Security,2024-06-23,2024-06-23,9999-12-31,1,Active,1,0,
408,BEN-00408,HH-1096,Amina,Barre,Female,1975-09-23,49,Ethiopian,Refugee,7,Education,2024-08-18,2024-08-18,9999-12-31,1,Active,1,0,
409,BEN-00409,HH-1807,Hassan,Kofi,Female,1966-12-02,58,Sudanese,IDP,12,Protection,2024-04-23,2024-04-23,9999-12-31,1,Inactive,1,0,
410,BEN-00410,HH-1281,Ali,Jama,Female,1957-02-08,67,Ethiopian,Stateless,5,Protection,2024-05-14,2024-05-14,9999-12-31,1,Active,1,0,
411,BEN-00411,HH-0227,Mariam,Musa,Female,1962-04-04,62,Ethiopian,Stateless,8,WASH,2023-08-17,2023-08-17,9999-12-31,1,Active,1,0,
412,BEN-00412,HH-0381,Fatima,Warsame,Female,1997-12-29,27,Congolese,Returnee,12,Food Security,2022-02-15,2022-02-15,9999-12-31,1,Active,1,0,
413,BEN-00413,HH-0701,Ibrahim,Warsame,Female,1994-04-13,30,Yemeni,Returnee,12,Food Security,2023-03-21,2023-03-21,9999-12-31,1,Active,1,0,
414,BEN-00414,HH-0147,Hassan,Barre,Male,1973-11-28,51,Sudanese,Host Community,7,Food Security,2024-03-14,2024-03-14,9999-12-31,1,Active,0,0,
415,BEN-00415,HH-0507,Amina,Ahmed,Female,1984-07-10,40,Somali,Stateless,11,WASH,2024-06-26,2024-06-26,9999-12-31,1,Active,0,0,
416,BEN-00416,HH-1289,Amina,Jama,Male,1978-12-26,46,Ethiopian,Returnee,11,Education,2022-11-21,2022-11-21,9999-12-31,1,Active,1,0,
417,BEN-00417,HH-1297,Ibrahim,Ndlovu,Male,1960-02-18,64,Congolese,Host Community,10,Health,2023-04-29,2023-04-29,9999-12-31,1,Active,1,0,
418,BEN-00418,HH-1410,Zainab,Mohamed,Female,1953-10-08,71,Somali,IDP,3,Livelihoods,2024-08-31,2024-08-31,9999-12-31,1,Active,0,0,
419,BEN-00419,HH-0123,Halima,Mohamed,Male,2018-02-22,6,Congolese,Returnee,4,Cash Assistance,2022-05-03,2022-05-03,9999-12-31,1,Deceased,0,0,
420,BEN-00420,HH-0044,Ibrahim,Ndlovu,Male,1989-05-11,35,Ethiopian,Refugee,8,Livelihoods,2023-01-31,2023-01-31,9999-12-31,1,Active,0,1,
421,BEN-00421,HH-1114,Halima,Ndlovu,Female,1967-01-10,58,Ethiopian,Stateless,9,Shelter,2023-01-18,2023-01-18,9999-12-31,1,Active,1,1,
422,BEN-00422,HH-1110,Halima,Barre,Male,1976-07-11,48,Rohingya,Returnee,12,Shelter,2023-06-24,2023-06-24,9999-12-31,1,Transferred,0,0,
423,BEN-00423,HH-0657,Fatima,Jama,Female,2019-08-15,5,Sudanese,Stateless,11,Livelihoods,2023-05-05,2023-05-05,9999-12-31,1,Inactive,1,0,
424,BEN-00424,HH-1313,Halima,Osman,Male,1978-12-10,46,Rohingya,Refugee,1,Shelter,2024-04-19,2024-04-19,9999-12-31,1,Active,1,0,
425,BEN-00425,HH-0393,Fatima,Diallo,Female,1959-08-09,65,Syrian,Stateless,10,Education,2024-09-21,2024-09-21,9999-12-31,1,Active,1,0,
426,BEN-00426,HH-1343,Mariam,Osman,Female,1951-03-05,73,South Sudanese,Host Community,9,Protection,2023-03-04,2023-03-04,9999-12-31,1,Inactive,0,0,
427,BEN-00427,HH-1084,Amina,Osman,Female,2005-05-07,19,Somali,IDP,9,Health,2023-06-29,2023-06-29,9999-12-31,1,Active,1,1,
428,BEN-00428,HH-1078,Ali,Musa,Male,1966-12-31,58,Rohingya,Stateless,7,Health,2023-01-31,2023-01-31,9999-12-31,1,Inactive,0,0,
429,BEN-00429,HH-1439,Ibrahim,Osman,Male,2010-07-06,14,Congolese,Stateless,7,Cash Assistance,2024-07-28,2024-07-28,9999-12-31,1,Active,0,1,
430,BEN-00430,HH-1127,Halima,Ndlovu,Female,1981-08-10,43,Afghan,Host Community,10,WASH,2023-10-08,2023-10-08,9999-12-31,1,Active,1,1,
431,BEN-00431,HH-0738,Mariam,Barre,Female,2018-09-11,6,South Sudanese,Refugee,5,Food Security,2023-06-05,2023-06-05,9999-12-31,1,Active,0,0,
432,BEN-00432,HH-0440,Halima,Diallo,Female,1976-12-11,48,Rohingya,Stateless,9,Shelter,2023-03-31,2023-03-31,9999-12-31,1,Active,0,0,
433,BEN-00433,HH-0543,Halima,Musa,Male,1964-01-03,61,Sudanese,Host Community,5,Health,2022-10-11,2022-10-11,9999-12-31,1,Active,0,0,
434,BEN-00434,HH-1482,Halima,Barre,Male,2015-11-16,9,Syrian,Stateless,2,Education,2022-06-08,2022-06-08,9999-12-31,1,Active,0,1,
435,BEN-00435,HH-1888,Halima,Ndlovu,Female,1957-01-15,68,Afghan,Refugee,4,Food Security,2022-04-25,2022-04-25,9999-12-31,1,Active,0,1,
436,BEN-00436,HH-1074,Amina,Ndlovu,Male,1954-11-09,70,Yemeni,Stateless,12,WASH,2023-09-17,2023-09-17,9999-12-31,1,Active,0,1,
437,BEN-00437,HH-0185,Ali,Kofi,Female,1989-12-23,35,Afghan,IDP,3,Cash Assistance,2024-10-30,2024-10-30,9999-12-31,1,Active,0,0,
438,BEN-00438,HH-0538,Fatima,Kofi,Female,1999-03-06,25,Congolese,IDP,8,WASH,2024-03-28,2024-03-28,9999-12-31,1,Active,0,0,
439,BEN-00439,HH-0505,Ali,Osman,Female,2000-05-06,24,Afghan,Host Community,11,Health,2024-12-09,2024-12-09,9999-12-31,1,Active,0,1,
440,BEN-00440,HH-0391,Halima,Ndlovu,Male,1982-10-09,42,Ethiopian,IDP,6,Livelihoods,2023-12-15,2023-12-15,9999-12-31,1,Active,0,0,
441,BEN-00441,HH-1404,Halima,Mohamed,Male,1970-12-12,54,Somali,Refugee,4,Shelter,2023-02-13,2023-02-13,9999-12-31,1,Transferred,0,0,
442,BEN-00442,HH-0625,Mariam,Barre,Male,1980-10-18,44,Yemeni,IDP,12,WASH,2022-08-16,2022-08-16,9999-12-31,1,Active,0,0,
443,BEN-00443,HH-1276,Omar,Diallo,Female,1999-03-28,25,Nigerian,Stateless,1,Education,2024-09-16,2024-09-16,9999-12-31,1,Active,0,0,
444,BEN-00444,HH-0109,Mariam,Diallo,Male,2012-06-27,12,Afghan,Host Community,11,Cash Assistance,2023-07-10,2023-07-10,9999-12-31,1,Transferred,1,0,
445,BEN-00445,HH-0474,Ibrahim,Jama,Male,2008-04-05,16,Yemeni,Returnee,10,Health,2024-03-02,2024-03-02,9999-12-31,1,Active,0,1,
446,BEN-00446,HH-0082,Ali,Jama,Female,2000-04-20,24,Yemeni,Returnee,7,Shelter,2022-02-14,2022-02-14,9999-12-31,1,Active,0,0,
447,BEN-00447,HH-0484,Hassan,Warsame,Male,1981-11-19,43,Ethiopian,Returnee,1,Education,2023-09-12,2023-09-12,9999-12-31,1,Active,0,1,
448,BEN-00448,HH-0180,Ibrahim,Jama,Male,2008-12-08,16,Afghan,IDP,10,Shelter,2022-10-09,2022-10-09,9999-12-31,1,Active,0,0,
449,BEN-00449,HH-0424,Omar,Musa,Male,1990-04-19,34,Congolese,Host Community,12,Shelter,2022-09-27,2022-09-27,9999-12-31,1,Active,1,0,
450,BEN-00450,HH-1142,Hassan,Osman,Male,1978-06-26,46,Yemeni,IDP,12,Food Security,2022-05-19,2022-05-19,9999-12-31,1,Inactive,0,1,
451,BEN-00451,HH-1528,Yusuf,Mohamed,Male,1977-03-20,47,Somali,IDP,3,Food Security,2024-06-26,2024-06-26,9999-12-31,1,Inactive,0,0,
452,BEN-00452,HH-1222,Ali,Ahmed,Male,2004-05-01,20,Yemeni,Refugee,12,Livelihoods,2023-04-18,2023-04-18,9999-12-31,1,Active,0,1,
453,BEN-00453,HH-0377,Ibrahim,Barre,Female,2013-11-17,11,Congolese,IDP,4,WASH,2024-02-05,2024-02-05,9999-12-31,1,Active,1,0,
454,BEN-00454,HH-1521,Ali,Ahmed,Male,1987-01-21,37,Congolese,Returnee,10,Livelihoods,2023-04-01,2023-04-01,9999-12-31,1,Active,0,0,
455,BEN-00455,HH-1590,Amina,Musa,Female,1988-05-11,36,Yemeni,Returnee,10,Food Security,2024-04-09,2024-04-09,9999-12-31,1,Active,0,1,
456,BEN-00456,HH-1063,Hassan,Kofi,Male,1953-10-21,71,Rohingya,Returnee,9,Food Security,2023-05-19,2023-05-19,9999-12-31,1,Active,0,1,
457,BEN-00457,HH-0945,Omar,Kofi,Female,1977-04-28,47,Nigerian,Refugee,12,Shelter,2023-08-09,2023-08-09,9999-12-31,1,Active,0,1,
458,BEN-00458,HH-0232,Omar,Musa,Male,1958-02-11,66,Afghan,Returnee,6,Livelihoods,2024-10-22,2024-10-22,9999-12-31,1,Active,0,0,
459,BEN-00459,HH-0513,Halima,Mohamed,Male,1990-10-17,34,Somali,Refugee,12,Livelihoods,2022-07-04,2022-07-04,9999-12-31,1,Active,1,1,
460,BEN-00460,HH-1254,Omar,Kofi,Female,2015-03-19,9,South Sudanese,IDP,6,Shelter,2024-11-13,2024-11-13,9999-12-31,1,Active,1,0,
461,BEN-00461,HH-0860,Yusuf,Warsame,Female,2019-01-02,6,Ethiopian,IDP,2,Shelter,2022-04-16,2022-04-16,9999-12-31,1,Deceased,1,0,
462,BEN-00462,HH-1020,Mariam,Jama,Male,1951-02-05,73,Nigerian,Returnee,4,WASH,2024-07-28,2024-07-28,9999-12-31,1,Active,0,1,
463,BEN-00463,HH-0163,Zainab,Musa,Male,1986-10-18,38,Sudanese,Stateless,5,WASH,2024-06-23,2024-06-23,9999-12-31,1,Active,1,0,
464,BEN-00464,HH-0076,Omar,Diallo,Female,2008-08-10,16,Yemeni,Refugee,1,Health,2023-12-16,2023-12-16,9999-12-31,1,Active,1,0,
465,BEN-00465,HH-1252,Zainab,Musa,Male,2010-04-19,14,Syrian,Stateless,6,Food Security,2023-08-06,2023-08-06,9999-12-31,1,Active,0,0,
466,BEN-00466,HH-1680,Fatima,Kofi,Male,1983-01-25,41,Ethiopian,Returnee,3,Health,2024-02-16,2024-02-16,9999-12-31,1,Active,0,0,
467,BEN-00467,HH-1075,Ali,Ahmed,Male,1997-04-14,27,Somali,Stateless,12,Health,2024-04-27,2024-04-27,9999-12-31,1,Active,0,0,
468,BEN-00468,HH-0532,Hassan,Musa,Female,1988-04-24,36,Congolese,Stateless,10,Livelihoods,2023-10-11,2023-10-11,9999-12-31,1,Active,0,1,
469,BEN-00469,HH-1810,Zainab,Ahmed,Female,1994-03-09,30,Sudanese,Refugee,2,Food Security,2023-01-04,2023-01-04,9999-12-31,1,Active,1,0,
470,BEN-00470,HH-0848,Amina,Ndlovu,Female,2005-03-15,19,Rohingya,IDP,1,WASH,2024-04-29,2024-04-29,9999-12-31,1,Active,0,0,
471,BEN-00471,HH-1038,Hassan,Ndlovu,Male,1977-08-12,47,Somali,Host Community,6,Protection,2023-09-07,2023-09-07,9999-12-31,1,Inactive,0,0,
472,BEN-00472,HH-0677,Halima,Barre,Female,1965-10-04,59,South Sudanese,IDP,8,Shelter,2023-02-02,2023-02-02,9999-12-31,1,Active,0,0,
473,BEN-00473,HH-1901,Amina,Jama,Female,1991-06-29,33,Nigerian,Host Community,9,Food Security,2024-04-27,2024-04-27,9999-12-31,1,Active,0,0,
474,BEN-00474,HH-1986,Omar,Warsame,Male,1981-09-21,43,Yemeni,Returnee,11,Shelter,2022-05-16,2022-05-16,9999-12-31,1,Active,0,0,
475,BEN-00475,HH-1771,Yusuf,Ndlovu,Male,2003-05-26,21,Ethiopian,Returnee,2,Livelihoods,2022-08-28,2022-08-28,9999-12-31,1,Transferred,0,1,
476,BEN-00476,HH-1076,Yusuf,Mohamed,Male,1977-02-24,47,Yemeni,Refugee,4,Health,2023-03-19,2023-03-19,9999-12-31,1,Active,1,1,
477,BEN-00477,HH-0390,Halima,Barre,Female,1994-11-11,30,Yemeni,IDP,2,Shelter,2022-11-12,2022-11-12,9999-12-31,1,Active,1,1,
478,BEN-00478,HH-0238,Amina,Warsame,Male,1984-10-09,40,Nigerian,Refugee,6,Livelihoods,2024-12-05,2024-12-05,9999-12-31,1,Transferred,1,0,
479,BEN-00479,HH-1309,Ali,Ndlovu,Male,1952-01-07,73,Sudanese,Host Community,5,Cash Assistance,2023-10-02,2023-10-02,9999-12-31,1,Inactive,0,0,
480,BEN-00480,HH-0323,Yusuf,Osman,Male,1974-06-18,50,Nigerian,Stateless,9,Health,2022-11-02,2022-11-02,9999-12-31,1,Active,0,0,
481,BEN-00481,HH-1932,Yusuf,Musa,Male,1974-04-26,50,Congolese,Refugee,5,Cash Assistance,2022-10-17,2022-10-17,9999-12-31,1,Active,1,0,
482,BEN-00482,HH-1850,Amina,Osman,Female,1952-08-08,72,South Sudanese,Refugee,7,Protection,2024-08-22,2024-08-22,9999-12-31,1,Active,0,1,
483,BEN-00483,HH-0640,Halima,Ahmed,Male,2005-04-17,19,Syrian,Stateless,3,Health,2023-12-30,2023-12-30,9999-12-31,1,Inactive,0,1,
484,BEN-00484,HH-0636,Mariam,Barre,Male,1958-09-23,66,Sudanese,IDP,10,Education,2024-07-22,2024-07-22,9999-12-31,1,Transferred,0,0,
485,BEN-00485,HH-1616,Halima,Barre,Female,2012-10-06,12,South Sudanese,Refugee,8,Health,2023-11-08,2023-11-08,9999-12-31,1,Active,0,0,
486,BEN-00486,HH-1238,Zainab,Mohamed,Male,1975-04-29,49,Afghan,Refugee,6,Health,2023-12-15,2023-12-15,9999-12-31,1,Inactive,0,1,
487,BEN-00487,HH-0489,Zainab,Ahmed,Male,1985-12-16,39,Syrian,Returnee,2,Cash Assistance,2024-04-26,2024-04-26,9999-12-31,1,Active,0,1,
488,BEN-00488,HH-1116,Ali,Mohamed,Male,1989-01-21,35,Nigerian,Returnee,2,Livelihoods,2023-12-02,2023-12-02,9999-12-31,1,Active,1,1,
489,BEN-00489,HH-1958,Ibrahim,Osman,Male,1965-10-21,59,Nigerian,Returnee,6,Livelihoods,2023-09-23,2023-09-23,9999-12-31,1,Active,1,0,
490,BEN-00490,HH-1818,Zainab,Diallo,Male,1969-07-10,55,Congolese,Returnee,9,Education,2022-10-12,2022-10-12,9999-12-31,1,Active,0,1,
491,BEN-00491,HH-1396,Halima,Warsame,Female,1967-07-22,57,Afghan,Host Community,2,Food Security,2023-02-26,2023-02-26,9999-12-31,1,Active,0,1,
492,BEN-00492,HH-0128,Halima,Jama,Male,1961-06-11,63,South Sudanese,Stateless,6,Health,2023-08-26,2023-08-26,9999-12-31,1,Transferred,1,0,
493,BEN-00493,HH-1281,Halima,Kofi,Female,1988-09-24,36,Afghan,Returnee,9,WASH,2024-03-18,2024-03-18,9999-12-31,1,Active,0,0,
494,BEN-00494,HH-1728,Halima,Kofi,Male,1966-11-20,58,Ethiopian,IDP,3,Food Security,2024-02-27,2024-02-27,9999-12-31,1,Active,1,0,
495,BEN-00495,HH-1348,Ibrahim,Mohamed,Male,2014-09-18,10,Congolese,Returnee,8,Protection,2024-09-23,2024-09-23,9999-12-31,1,Active,0,1,
496,BEN-00496,HH-0788,Halima,Ahmed,Male,1999-07-12,25,Afghan,Stateless,1,Livelihoods,2024-07-10,2024-07-10,9999-12-31,1,Inactive,1,0,
497,BEN-00497,HH-0069,Amina,Musa,Female,1986-11-10,38,Yemeni,Refugee,10,Livelihoods,2024-01-22,2024-01-22,9999-12-31,1,Deceased,1,0,
498,BEN-00498,HH-1760,Yusuf,Barre,Male,2015-07-05,9,Rohingya,Stateless,2,WASH,2024-12-14,2024-12-14,9999-12-31,1,Active,0,0,
499,BEN-00499,HH-1256,Amina,Ndlovu,Male,2011-05-16,13,Syrian,Returnee,9,Livelihoods,2023-10-02,2023-10-02,9999-12-31,1,Active,0,1,
500,BEN-00500,HH-0593,Omar,Diallo,Female,1981-08-30,43,Nigerian,Host Community,1,Livelihoods,2023-08-27,2023-08-27,9999-12-31,1,Active,0,0,
501,BEN-00501,HH-1657,Zainab,Diallo,Female,2008-11-18,16,Syrian,Refugee,3,Health,2023-08-21,2023-08-21,9999-12-31,1,Transferred,0,0,
502,BEN-00502,HH-0564,Yusuf,Diallo,Male,1961-11-22,63,Nigerian,IDP,10,Shelter,2023-07-30,2023-07-30,9999-12-31,1,Active,0,0,
503,BEN-00503,HH-0994,Omar,Jama,Male,1973-06-09,51,Yemeni,Refugee,3,Shelter,2023-04-29,2023-04-29,9999-12-31,1,Inactive,0,1,
504,BEN-00504,HH-1487,Omar,Ahmed,Female,1971-05-08,53,South Sudanese,Host Community,2,Food Security,2024-06-20,2024-06-20,9999-12-31,1,Active,0,1,
505,BEN-00505,HH-1529,Hassan,Ahmed,Female,1977-01-14,47,Afghan,Returnee,5,Shelter,2024-09-02,2024-09-02,9999-12-31,1,Active,0,0,
506,BEN-00506,HH-0783,Halima,Jama,Male,1975-11-29,49,Somali,Stateless,11,Cash Assistance,2024-07-08,2024-07-08,9999-12-31,1,Deceased,0,0,
507,BEN-00507,HH-0547,Fatima,Warsame,Female,1980-01-20,44,Syrian,IDP,12,WASH,2023-07-08,2023-07-08,9999-12-31,1,Active,0,0,
508,BEN-00508,HH-1378,Amina,Osman,Male,1978-02-08,46,Afghan,Refugee,9,Health,2022-01-22,2022-01-22,9999-12-31,1,Active,0,0,
509,BEN-00509,HH-0516,Ali,Diallo,Male,2015-01-25,9,Nigerian,Refugee,1,WASH,2023-08-04,2023-08-04,9999-12-31,1,Deceased,0,0,
